<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
02/01/17,10:00:00,60819.0000000,60973.0000000,60806.0000000,60946.0000000,31729
02/01/17,10:01:00,60946.0000000,60961.0000000,60898.0000000,60917.0000000,18291
02/01/17,10:02:00,60922.0000000,60955.0000000,60901.0000000,60922.0000000,11705
02/01/17,10:03:00,60922.0000000,60977.0000000,60920.0000000,60956.0000000,11501
02/01/17,10:04:00,60956.0000000,60960.0000000,60932.0000000,60943.0000000,3156
02/01/17,10:05:00,60942.0000000,60955.0000000,60933.0000000,60941.0000000,5560
02/01/17,10:06:00,60940.0000000,60961.0000000,60938.0000000,60954.0000000,5109
02/01/17,10:07:00,60952.0000000,61019.0000000,60938.0000000,61009.0000000,15596
02/01/17,10:08:00,61011.0000000,61063.0000000,61003.0000000,61025.0000000,23271
02/01/17,10:09:00,61025.0000000,61031.0000000,60993.0000000,61017.0000000,12187
02/01/17,10:10:00,61014.0000000,61020.0000000,60994.0000000,61010.0000000,8255
02/01/17,10:11:00,61009.0000000,61015.0000000,60988.0000000,61004.0000000,4081
02/01/17,10:12:00,61008.0000000,61029.0000000,60973.0000000,60980.0000000,6671
02/01/17,10:13:00,60982.0000000,60998.0000000,60961.0000000,60990.0000000,7172
02/01/17,10:14:00,60989.0000000,61007.0000000,60978.0000000,60989.0000000,5635
02/01/17,10:15:00,60989.0000000,60996.0000000,60977.0000000,60978.0000000,3444
02/01/17,10:16:00,60981.0000000,60985.0000000,60968.0000000,60971.0000000,2353
02/01/17,10:17:00,60970.0000000,60978.0000000,60962.0000000,60966.0000000,2669
02/01/17,10:18:00,60966.0000000,60970.0000000,60945.0000000,60948.0000000,5356
02/01/17,10:19:00,60947.0000000,60959.0000000,60934.0000000,60940.0000000,5024
02/01/17,10:20:00,60938.0000000,60956.0000000,60896.0000000,60939.0000000,19040
02/01/17,10:21:00,60938.0000000,60953.0000000,60933.0000000,60942.0000000,2850
02/01/17,10:22:00,60942.0000000,60948.0000000,60935.0000000,60936.0000000,2660
02/01/17,10:23:00,60936.0000000,60936.0000000,60910.0000000,60922.0000000,5353
02/01/17,10:24:00,60919.0000000,60933.0000000,60904.0000000,60912.0000000,6853
